갈비구이,고등어구이,닭갈비,불고기,삼겹살,미역국,육개장,양념치킨,후라이드 치킨,배추김치,만두,라면,짜장면,짬뽕,잡채,김밥,비빔밥,떡볶이,제육볶음,보쌈,계란말이,파전,갈치조림,김치찌개,갈비찜,닭볶음탕,족발,삼계탕
Husband father and brother approved.,I love mackerel. We call it “saba” in Japanese. It’s one of my favorite fish but I’ve never prepared it myself. I always eat this at my parents house or I order take-out from a local Japanese restaurant when I have a craving.,One of the best dakgalbi ever!! The flavor and everything is good. For chicken lover this is the place a must to visit to satisfy your cravings,I think this meal was amazing!,The pork was juicy and the flavours were interesting.,It was so easy to prepare and it was absolutely delicious,This is my favorite Korean dish. Can’t wait to make it.,We had the BBQ and soy sauce fried chicken. Every bite had flavor. Price is fair and order came our fairly quickly,The chicken is still crispy and juicy. Hope that they will consider expanding overseas,"I love kimchi. The seasonings for kimchi include ingredients like red pepper (gochugaru), garlic, fish sauce, ginger, carrots, onions, and salt.",Galbi mandu are indeed amazing.,I was excited to see what's so special about this korean ramen compared to the other ones I've tried and find that there's no distinction. It just taste like regular spicy ramen. Although wasn't bad,,,,,"Especially this kind of disgusting, unhealthy processed food",,,,,,I really really love the red color of korean food. Korean cuisine is very unique,"I love kimchi soup…it’s so versatile! I add whatever meat I have on hand, but I definitely agree that pork gives it the best flavor.",Korean spicy beef stew Galbijjim with a bowl of white rice is an ultimate comfort,,"Pork was tender and well seasoned (esp. the collagen part), it reminds me of the Taiwanese braised pork hock and i think it's not as sweet. Not sure if it's because of the way the pork was cooked or the cabbage with vinegar side dishes, neither of us get the greasy feeling after eating all these food. Will definitely come back and try their other dishes next time I visit Seoul.",
This is one of my favorite dish...yummy!,I love mackerel and have only had it at Japanese restaurants.,"This is one of my favourite spot in Seoul. Awesome food, kind&nice service and great location in Hongdae. It was a bit hot for me, but I could choose the level of spicy like we can do in Nandos which was pretty impressive. I would love to visit this restaurant again! Strongly recommended!",This sauce was amazing!,"Great flavors and wide range of marinated meat (pork), which was also juicy and tender. ","Love this soup, so good on blah days.","Looks amazing, love the color of that broth. I think the red juices off of raw meat are just water soluble proteins, not actual blood, tho. Nonetheless, you are the master, I will be making this.",Not cheap at all for a mix plate at 18000 won. Soychicken tastes better but not for original fried chicken.,"I love LOVE the chickens! Now that I've left Seoul its the only thing I miss about South Korea - mouthwatering delicious, the seasonings deeply seeped in the meat. Literally the best!",Don’t worry about what to serve with kimchi. It goes with everything!,The dumplings were so delicious- soft and tasty. The best dumplings we tried so far during our stay.,My favorite. Very spicy but so good.,,,,,I hated the dish: gray-colored beef; a heap of boring vegetables; maybe a squirt of gochujang mixed into the dried-out rice. ,,,,,,One of my favorite Korean dish...eat it with rice...ooohhhh.,I always order Kimchi jigae when I go to korean restaurants,"Amazing Korean Galbi Jjim last night, definitely recommend",,Traditional Korea style food mainly for trotters dining with delicious taste.,
I lived in Seoul for a year and ate bbq several times a week! I couldn’t get enough of it.,It sounds simple and delicious!,"Dakgalbi is probably my favorite korean food. I've visited this location twice during my last trip to Korea and it never disappoints. It's spicy and that makes it awesome. They have a decent sized menu, but I was too busy eating to read it. Either way, I'd give it at least two thumbs up, maybe even a third, but I'm still waiting on the stem cells.","Love this!!! I’ve made this recipe at least 5 times in the past few months, always with beef.","The pork itself wasn’t seasoned, but it was good on its own.",My mother made a lot of this soup for me after my daughter was born.,,"As others have stated, average and over priced. In addition, some pieces were undercooked. Not very clean.",BEST FRIED CHICKEN I HAVE EVER TASTED.,um i am not sure about the brand but i had it before and it tasted super sweet and spicy. i like it spicy.,They serve a variety of dumplings -- Galbi being my favorite. The Kimchi one is good too if you enjoy eating spicy food.,Best noodle there is.  And the spice is great.,,,,,It’s the best tasting and has the most flavour.,,,,,,Yummy! This will be my go to dish when the weather gets cold., I am making it and the taste is great but I find that I am low on broth,Rice cakes and cheese are certainly a MUST on our Kalbijjim,,"We ordered the Spicy & Spiced Pig Trotters set L for 3-4 people via Klook. Really tasty, but the meat portion was not that much, maybe because we did not eat the fatty parts or skin. I wonder if you could try asking for leaner meat. You could add on rice as the spicy trotters were really spicy!",
Absolutely brilliant. The whole family LOVED it.,"Mackerel is my favorite fish. I love the way you prepared them, and with addition of the lemon and ginger juice is just excellent. This is really making me hungry.","The best thing of this restaurant is that I could choose the level of spiciness, roast chicken with noodle is so delicious",So so so so….so so so good! We ate until we popped.,They were delicious and we really enjoyed it. ,"Made it with chicken brest meat and eat along with bibimbap tonight. Sooo completing each other. Just like the other inexperienced did, never imagined that only a sheet of dried miyeok (it’s sold in sheet shape in my country) is going to make my wok full",,The chicken was very good and the sauce was awesome,I don't know how they cook this but it is the most delicious FRIED chicken I have tasted.,"Kimchi is not very pungent like saurkraut. Kimchi is usually made with napa cabbage, Salt, red chilli, fish sauce,ginger, garlic and onions. But there are vegetarian variations as well. Do give it a try and let me know if you liked it!!",Superb dumplings! The steam dumplings here is a must try.,These are GREAT ramen noodles all things considered.,,,,,rice is my staple food and like it everyday twice a day different varties are good ty can i try,,,,,,Made this recipe today using flounder and it was fantastic! My entire family loved it! Thank you so much!! :)),Kimchi stew is LITERAL A COMFORT FOOD. I feel the warmth and hug of the soup. Add sprouted beans for the extra crunch and more leaks, braised short ribs in a sweet soy sauce. It's a popular dish in Korea eaten and shared with family during special occasions.,,The sliced meat was juicy and favourable and the skin did not have greasy feel. ,
I made these ribs (using the thinnest beef ribs I found) last weekend with my bestie (along with some pan-fried beef slices and Jjajangmyeon) and had a fun Korean BBQ girls night-in.,This sounds really tasty. Fish is great lightly salted and simply grilled.,"Wow It was the best of chicken dishes.You can choice in 4 spicy step (no spicy, little spicy, spicy, very hot) I ate little spicy step, but it was also hot! But it is Korean traditional food, and really delicious. PLUS, it's reasonable price and large in quantity. So you should try it. You won't be sorry.",This turned out so good! Will definitely keep this as an easy go-to weeknight meal. It was a hit with the husband and kiddo.,"Pork was tough and rubbery, not worth the money.",Made this with some dakgalbi for my own birthday. The neighbors said they love the taste even if it’s my very first time attempting both dishes.,,Its nice but certainly not the best. Also the portion is small. We preferred the BOOR fried chicken restaurant few shops away. It tasted much better and also the chicken pieces are bigger.,"I thought KFC has the worst fried chicken, but now I regret that I didn't went for their shop around the corner. It's still better than this. We ordered drums and wings. What we got was undefined chicken parts with almost no meat. Very dry inside and oily outside. One piece was the chicken neck. Wtf?!",I like the tang you get from old kimchi. It’s kind of like sauerkraut.,Mandu taste delicious but nothing special to us.,,,,,,Asian flavours just add meat or vegetables seems like a simple way to create a meal in a hurry.,,,,,,"Squeeze it...It's so messy, but I asked them to change it because of the rice, and they mixed it upside down.Crying. I went there on a rainy day and I was so shocked that I didn't go again.  Please make it clean for others. ",Kimchi stew is the perfect stew to make as the temperature cools down now. It’s so hearty yummy and delicious when you add a warm bowl of rice with it.,"Meat Lover's Dream: Koh Galbi Jim - comes out sizzling with big chunks of tender, fall off the bone, braised short ribs and oxtail. AND can't forget the sauce that covers everything...",,"Its like a must go for pork trotter lovers becoz this is by far the yummiest most tender, juicy, collagen bursting, ""smell-less"" trotter we have ever eaten. The garlic one can be a little overwhelming for some so stick to the original flavor. Matched with a abundant serving of salad, this is like the perfect meat indulgence.",
"I tasted the authentic ones in Korea, they commonly use the electric grill on your front and it is grilled right before your eyes.","Mackerel is definitely one of my favourite fish, especially when grilled. Lemon and ginger sound like lovely additions to the rich flavour of mackerel.",Definitely worth going to if you’re round the area in Hongdae. What I like about it is that they cook the chicken for you beforehand and that helps to minimize the chances of you getting food poisoning due to raw poultry.Would recommend you to get the cheese set if you love cheese and add in some ramen noodles. The combination is delicious! Before they serve the main dish they will cook you pancakes. The chicken is also served with vegetables (cabbage and sweet potato). Price is reasonable - we went back twice as we stayed around the area.,"This was one of the easiest, most delicious meals I’ve ever made.","Lovely Korean BBQ Pork Belly Marinated With Delicious sauce to give the flavor and aroma of taste, delicious and awesome blend with a Bottle of draft beers.","I have this for breakfast nearly every day, topped with two fried eggs, and one spoonful of purple rice. I’ll often throw in other vegetables if I have them – julienne or chopped small. Sooo healthy!",,"We ordered a spicy fried chicken, and after a long wait a basket arrived containing what must be a full chicken - 12 pieces of fresh-fried goodness. They are way beyond KFC but not as otherworldly as I thought them to be. Hope to try another restaurant next time.",Unless you want to eat a whole chicken don't bother. Also the english text on the menu is minute and near impossible to read. Waste of time getting a menu really. I left without eating.,I love kimchi with Korean BBQ!!,These were fantastic! I made these with my half-Korean boyfriend tonight for date night and he said it was the best meal he’s ever ate!,,,,,," I feel it tasted just as good as any I've had in the past, however, I tweaked it a bit to suit my taste and nutritional needs.",,,,,,Belt fish stew “Gal-Chi Jo-Rim” for PW. It’s definitely the most satisfying meal for a Korean-foodholic,"When it gets colder, we want something warm, something to warm you body and soul. What better food is there than Kimchi stew?","The weather’s getting cooler and cooler everyday now and in my book that can mean only one thing - Korean stews! So here’s Galbi Jjim, a Korean braised short ribs with jujube, pine nuts, chestnuts, ginko, shiitake mushrooms, Korean radish, carrots and Korean pear. It’s quite a lot of ingredients and it took quite a long time to braise the meat but it’s well worth the wait.",,"We ordered ""Original Jokbal"". The food arrived very quickly and frankly it looked good but not much actual flavour. I do not understand how people can say that it is so tasty. It isn't. It is very plain. You don't even get as much as they make you think - underneath the huge pile is an enormous pile of bones and fat. It's a con.",
I can only imagine how much better it would be on a charcoal grill.,I love this fish!,"For starters, this restaurant was close to our hotel and it was relatively central, although it was slightly tricky to find. The quantity of food we received for the price we payed was excellent although when we ordered non spicy chicken I found that I could barely eat it.If you cannot tolerate spicy food I wouldn't recommend it.Service was also fairly minimal as they didn't even advise us on how to cook the food.","This was a delicious, warming meal.",The meat was good and the preparation was awesome. Cooked perfectly. Good korean bbq and beer definitely won't go wrong. Highly recommended.,"What a wonderful soup! And I love the name “seaplant,” so much better than that other nasty name (weed).",,"We ordered the sauce chicken after reading some reviews. We did not regret and think that we made the right choice. As it only comes in 1 size, with 24 pieces, we could not finish and ask the waitress to pack it up for us","Very disappointed with the fried chicken served. The meat was dried. The spicy chicken was not that spicy at all, The garlic chicken had no taste but bitterness of burned garlic. The salad was old. The service was mediocre. The restaurant was simply using their old flame to lure customers and we were one of them.","I eat Kimchee and hard boiled eggs and drink dark beer when I’m mad at the world and refuse to take prisoners, or when I know I’m going to be pat searched by TSA and I have no pity on them. Fortunately, I am almost never mad at the world, and I don’t fly that much any more.","To be honest, the taste got a bit too one-dimensional once you hit your third or fourth dumpling. The Deep-Fried Mandu was the sole standout.",,,,,,"Everyone loved their orders. The vegetables were fresh, meat well flavoured, sauces offered were flavourful and great accents to the food.  The rice was cooked well and had an interesting purple colour to it.",,,,,,"It's so fresh, full of sea and the gravy goes so well with rice","This Kimchi Stew (Kimchi Jjigae) is loaded with healthy fermented veggies that deliver probiotics to increase the body's immunity. It’s a warm, hearty, spicy and savory dish that pretty much everyone loves. With rice and soju its a full and very comforting meal in this weather.","you can’t eat galbi jjim without lots of rice, it’s just not possible! Jan made this with Korean pears, jujube fruit, chestnuts, balled radish and carrots, shiitake mushrooms, and the star of the dish, beef short ribs! We didn’t have gingko nuts for this, so for next time as I’m sure there will be",,The pork was so tender and flavourful (we had the garlic jokbal). ,
yaya I am making this tonight for dinner! Can’t wait!,"one of my favorites! a great song, too!",Ate the VERY BEST dak galbi we have ever eaten,"This one, however is perfectly balanced and oooooh the flavours are amazing. The meat was tender and juicy.",Well marinated pork belly with refreshing salad by the side to balance the meal. ,What an incredibly satisfying soup! The beef/fish sauce work so well together. It’s a new family favorite.,,Always popular. Simple menu - Korean style fried chicken done with different sauces,"Do you know good food???This place was horrible!But regardless what we ordered we don't believed this mattered.Over battered, some sort of crispy over battered chicken, no skin, no chicken meat. I don't know what cut we paid for but it wasn't real chicken ! It was disgusting! No exaggeration at all! You'll won't believe me, will have to try for yourself It is disgusting. Ask yourself where was the chicken skin???? Was was the meat? Worst recommendation ever! Other then crunchy batter where was the chicken meat??? Please do go and let me know how terrible this was !! I'm interested in other reviews","What we normally call kimchi is baechu kimchi (배추김치). It’s one of the tasty ones. If you like cucumbers and kimchi at the same time, them you may like cucumber kimchi, oisobagi (오이소박이). I personally don’t like spiced raddish kimchi like kkakdugi (깍두기), chonggak kimchi (총각김치).","I had the assortment plate, which included 5 steamed dumplings and 3 fried dumplings. This was enough for 1 hungry person or a light lunch for two. The dumplings were moist, flavorful, and delicious. I will only be in Seoul for a week, but I will be back for more dumplings before I leave.",,,,,,"The dish is nutritionally balanced, with plenty of aesthetic appeal.",,,,,,ouldnt pass by the galchi at vic market so brought one home and braised it homestyle. equally as yummy as the star of the dish are the chunks of potatoes that really soak up the sauce and crumble to a fine paste in your mouth ,Nothing beats home cooked Kimchi Stew on a cold and rainy day. I am one of the few who don’t have food delivery apps installed on my phone. ,my favorite korea food.. It is very savory and very delicious.. The meat is soft because it was cooked for quite long.. The sweet taste of the sauce and the juicy meat makes an excellent taste,,"The meat is tender, and melt in your mouth. I would recommend the original one and add 2,000 won for the minced garlic so you can try both the original and garlic version. To us the garlic is too sweet to our liking while the original one is so tasty even eat as it is.",
,"I find that oily fish like tuna, mackerel and salmon taste great over an open fire. The tradition of “planking” fish like salmon or shad (a relative of herring” shows how the wood smoke imparts a delicious flavor to these kind of fish that regular cooking, even on a grill, can’t compare to.","Famous for its stir-fried chicken in spicy sauce (Dak Galbi), this restaurant is always very packed whenever we visit. Lucky for us, we are able to get a seat quickly this time. We ordered the mix set which comes in 2 portion - spicy and non-spicy. The spiciness of the spicy version is just right and the non-spicy version is marinated in a sweet sauce. Both taste exceptionally good especially when mixed with the generous amount of cheese. Higly recommended and definitely a restaurant of a great value.",it was delish! making it was fun too!,Had this last night with a couple of friends. Its just so amazing!,"I totally LOVE this soup! Super YUMMMMM. Do you know what perilla oil is? How do you use it and can you use it to make seaweed soup? Also, it seems that this soup varies from region to region in Korea.",,"It will cook nicely, become crisp on the outside but tender and moist on the inside.","Definitely the best Korean fried chicken I have eaten thus far. Portion is too big, they should have smaller portion so that we can at mix & match the flavours. Ordered the honey flavour, thumbs up. Every table I saw had leftover chicken, too filling for 2 pax.","The thing I like most about this food is the texture when you bite into it. It’s not like eating raw cabbages, but it’s not like eating veggies that are all soggy and unappetizing either. It’s right in the middle, meaning that it’s soft on the outside and crunchy in the inside.","Although mandu are commonplace in Korea, this one is particularly tasty. My wife and I never fail to eat it when in Korea.",,,,,,There is a terrific balance of ingredients that is perfectly accented by sauce that isn't too sweet or spicy,,,,,,"I wanted some; but didn't have the galchi (hairtail fish), so I used Talapia instead. Still turned out good. One thing to note: the cooked daikons are underrated. I think it's my favorite vegetable now.",Kimchi stew with tofu from Dong Yang. Perfect for the fall and cold season!,"It was too greasy to grill and eat, so I made it into steamed food. Potatoes are actually better than meat.",,"The parents, the young niece all love the pig trotters... its tender and you won't feel like its too fatty! ",
,Freshly grilled or fried mackerel is extremely taste.,"Who can resist for mozarella?This restaurant is very famous. If you go to Korea, you must it the chicken dakgalbi with mozarella. You can add ramen and topokki. Also you can add fried rice and mix with the leftover, then you get fried rice! Taste really good and worth the price.","Delicious, tender meat…wonderful flavour!",I just ate this last night with my husband. But i want to eat it again and planning to cook it this coming weekend as a surprise for my mom and my husband because they also really love this dish.,"i made this soup couple days ago and it turned out PERFECT, i loved it and my son loved it too and his 14 mos old",,O. M. G. Finger-licking good! So crispy and flavorful,The fried chicken was very crispy while the meat was tender. The salad was a little spicy to us but it was a perfect match with the draft beer.,"Kimchi that has been sufficiently ripened will have a slightly sour taste. Unless one is very sensitive to sourness, it should not be overwhelming.","I found the basic dumpling filling a bit spicy, which was cut down by the kim-chi on the side. One of the dumplings had an extremely spicy filling, which was too much for me. But overall, a good experience with what's basically street food.",,,,,,I loved their Bibimbap because you can tell that every ingredient is fresh and the taste was not shortchanged.,,,,,,"I made Galchi-jorim(Braised Cutlassfish) after a long time. What I made is not as good as eating at Namdaemun Market, but it's yummy.","This is one of my favorite comfort foods. The spicy, warm, flavorful broth can be devoured in just a few minutes.",The house smells amazing and the food came out delicious!!,,The 3 layer pork dish is super delicious with lots of other ingredient included in it.,
,"Grilled mackerel (고등어 구이) is sometimes brought out as banchan, and is my favorite. I also like soy-cooked potatoes (감자조림)",We tried the chicken and seafood dish for 2 and it was better than expected however very spicy. We enjoyed the style which was very interesting for us. They bring you the order uncooked then it get cooked infront of you on your table. Was also faster to cook than expected.,"Fresh, beautiful, subtle flavors! Absolutely perfect. And with the kimchi -heaven!",Made this for tonight’s dinner…. my kids love it. they ate a lot.,I really really would like to make miyuguk because I’m pregnant and heard it has many benefits for pregnant women. Plus I really crave Korean food!!!,,This was very delicious !! My husband loves it and he said he can eat korean fried chicken everyday ! LOL,The chicken is fried to a nice golden brown and the meat inside is juicy and tender,"In my opinion, yes! But I only enjoy fermented kimchi. To compare it to American foods, it most resembles pickles. Kimchi is salty and has a bit of an acidic tang to it like pickles! Kimchi goes well with meats because it creates a combination in the mouth of a mix of umami and acidic taste which balances well.","The mandu dumplings were delicious. I had the spicy dumpling soup and the heat was great. I love spicy food and this dish delivered on heat, but also flavor. My wife just got a regular order of 3 dumplings and enjoyed them as well.",,,,,,it was a little too ‘wet’ and I really should have opted for more chilli paste because flavour was severely lacking.,,,,,,"If you love fish and if you love spicy, you need to try some of our Braised Beltfish with Spicy Sauce, or Gal-Chi Jorim",Mackerel kimchi jiggae - my comfort food,"s perfect because the ribs steamed with chestnuts, ginkgo and jujube. It is an indispensable dish for Korean holidays. The appetizing visuals are so fantastic.",,Tasted is good !!! i recommend to everyone . everything is good.,
,"If you don’t like fish that is like mackerel or salmon, with a strong fishy flavor, avoid oily fish that prey on other fish. Stick to white-fleshed species like tilapia or sole or catfish.",Value for money and service was really good! Plentiful of side dishes and the galbi was very well marinated.,Pretty good! I like to add a bit of chili paste for a little heat.,Just love this dish. Will try and make for my family to eat.,"I am watching a lot of Korean drama movies, and always saw their friend or family member made them Seaplant soup on their B-day.",,Absolutely amazing. This is the best chicken dish I have ever eaten! For those afraid of the hot pepper paste – don’t be – it is actually quite mild.,"Loved it so much, we went back twice. It was hot, juicy and delicious",Like sour fermented cabbage with just a hint of heat and the unmistakable umami from fish oil or Miso paste. I actually make my own because I'm tired of trying to find it in the supermarkets.,I just loved their dumplings and I usually ordered the three different flavours in one plate. I personally like steam dumplings more than fried.,,,,,,"The balance between the meat and the greens was spot-on, and the fried egg on top added to the visual and sensory pleasure that was the meal",,,,,,Braised Beltfish with Spicy Sauce melts in your mouth with that additional spice,"Everyone like it.  But you'd like to experience real Korean food not modified for the foreigners, then this is the answer. This is hot and salty. The taste is strong and the whole feeling is similar to a european tomato soup. Eventhough there are some arguments~",No one hates Galbi-jjim in korea. Bap(cooked rice) and Galbi is my life,,"The pork meat was tender, juicy and flavorful. ",
,Totally love the saba fish. Have to try the saba and the spicy seafood soup.,Simply delicious and reasonably priced! We had a set with both the spicy and honey seasoned chicken with noodles and its good! Will definitely go again when I'm in Seoul.,If you like spicy korean food add a teaspoon of Gochujang paste.,I just cooked this for a lunch party with 6 friends. Everyone loved it and it was so yummy! I’m going to have more again for dinner tonight!,"I guess it doesn’t really look all that appetizing to people who aren’t Asian or who’ve never had Asian food. Trust me, it tastes a lot better then it looks.",,I usually eat this yangnyeom chicken. but they’re overpriced.,This chicken is quite delicious and It worth to try. ,"In case anyone doesn't know, kimchi is pickled cabbage. It tastes sour but depends on who makes it. It tastes good in a variety of different ways. You can use it to make pancakes, put it in hamburgers/sandwiches, fry it in rice, make a soup, and I recently experimented and put it in spatzle and on pizza. It used to be considered kind of gross and stinky in America but has become quite popular now, especially in cities. I had some friends from Germany try it and they said it reminded them of sauerkraut a bit.","I cannot speak for any of the other food, but the fried dumpling here are out of this world. You get 3 big ones in an order, and every bite is like heaven. I am getting excited just thinking of them.",,,,,,Bibimbap is an incredibly flavorful dinner recipe the whole family will enjoy.,,,,,,Galchi jorim! My all-time favorite Korean dish  Try belt fish or any fish of your choice with this spicy jorim sauce,"The kimchi soup pot need to be boil for a while more to get the greatness out. Simply great, at a good price. Beware, they only sells 1 menu - kimchi hot soup pot, which comes with rice & the usual Korean small dishes."," Garbi-jjim aka beef short ribs, is a special dish that dates back 400 years between 1400s to 1800s, when it was exclusively prepared for the king tables of the Joseon Dynasty.",,The meat is tender and delicious.,
,Unlike anything else My friend had caught loads of mackerels and I was looking for something different to cook with it. Loved the taste of this dish and found it quite different then anything else,Will come here whenever I visit Seoul. The chicken is well marinated. Combined with noodles made a wonderful dish,Absolutely delicious!!! My family loved it. So incredibly tasty. Only thing I might suggest would be to use tender loin steak instead of rib eye as rib eye has quite a bit of fat.,I remember when my mom made this for us for the first time. It was heavenly delicious. I can’t wait to make it for my husband.,This is probably my favorite Korean soup.,,The sweet and spicy flavour combined with the crunchiness is to die for!,The amount and the size of the wings is just nice and it is very yummmy!!,"Kimchi tastes sour, tangy, salty, spicy, and pungent! It’s similar to sauerkraut in that it is fermented cabbage, but kimchi is packed with flavor, umami and a little (or a lot) of heat! The fermentation process is what gives kimchi its sour flavor.","The dumplings are good, but I don't think they live up to the reputation that is advertised. ",,,,,,Absolutely delicious. It has an amazing tender texture and lots of flavor.,,,,,,Perfect for colder weather.,Kimchi stew is an acquired taste. You either like it or you don't--like duran. I can't stand both--sorry.,"It was a bit of a wait and a bit pricey (ngl), but was sososososo good that I almost cried. A silly goofy protip is to go to enhance the flavor and expand your appetite!",,"The pig trotters are (al-dente?), just the right amount of softness and chewiness, bit salty and sour and the garlic is really spicy.",
,"pleasantly spicy but not so hot that you can't enjoy the flavor. I used trout, and it was great on the grill. Be sure to really oil the grill, though - I oiled mine fairly well and the fish still stuck a little bit and I had to loosen it up with a spatula. If you haven't eaten much trout before, trying to avoid the tiny bones is a bit annoying, but the finished product was so tasty that it made up for the extra work.","I came to Seoul without knowing about K-Pop, K-Drama, or even Korean Food, We didn't quite have the motivation to try out restaurants since me and my friend doen't really enjoy Korean food, but this restaurant changed our opinion. The spice doesn't feel tasteless like the other dakgalbi I tasted in my country , we finished the whole wok just the 2 of us.",Bulgogi. This is just Bulgogi. I make it all the time it’s my favourite meal.,"I prepared this grill pork BBQ and steamboat to celebrate my Mid-Autumn Festival with my family on last sat…wow wow wow, they said it is so delicious as we are in korean restaurant and all wanna to eat this dishes.",This was one of my favorite instant soups when I lived in Korea.,,My dad couldn't eat the spicy sauce but loved this sauce,"Best fried chicken in Korea! Bite size are served with various flavors like garlic. Ketchup, BBQ or mustard sauce for the plain fried chicken variety.","it is not just the taste that is provided, but the flavor as well, including every component. Aside from that, you are also provided with the nutritional values and uses of kimchi.",The steam dumpling is excellent and strongly recommend! Huge meat stuffing and thin skin. Lovely. ,,,,,,Bibimbap is perfect for meal prepping.,,,,,,"Although the dish comes out a dark red hue, it’s more savory than sweet and spicy, especially when combined with rice.","Absolutely delicious! At first I was surprised there’s no Gochujang in the recipe, as in the pork version. But this is so light and refreshing, I love it! No need for gochujang at all, the fish and the kimchi balance each other so well.",One of the best dishes I’ve had in a long time!” We love hearing from a satisfied guest,,The meat was really tender and very delicious. ,
,I just caught Atlantic mackerel today. And I'm reading a lot about curing it first with salt and rice vinegar.,"We tried the Chicken Galbi and it was really an excellent experience. Basically they get raw marinated chicken with optional veggies, bulgogi or seafood and cook it on a large pan on your table. Everyone on the table needs to have the same dish as its communal eating and they bill you per head.","I made this with my mom and it was really good, I am a sucker for any kind of Korean style beef! :)",,"I love miyeokguk, so nutritious.",,The chicken is really crunchy and taste so good,"Once you know that you can have only fried chicken, then everything is ok. The taste and the quality of the chicken was good","Though traditional Korean kimchi is not vegan, plenty of these tart and spicy fermented condiments exist in vegan versions. The most satisfying will probably be your own homemade kimchi, which is easier to make than you may realize. An udon noodle stir-fry with vegan kimchi is going to change the way you look at fast, no-frills dinner nights.",,,,,,,Food was terrible and hardly eaten,,,,,,OMG this is the kind of food PW could live on. Belt fish stew with lots of daikons is out of this world,"since it’s cooling tonight, and the kids have been requesting for it, i made them kimchistew with pork, tofu, enoki mushrooms, cabbage, egg and threw in some noodles",Galbijjim is a Korean Traditional braised beef short ribs dish.,,Highly recommend this pig trotters or call Jokbal in Korean. It is super delicious. You will be regret if you don't try it out! My daughter and I love it so much.,
,Taste was a little bland.,the food is ok for korean standard. the place is nice and accommodating. atmosphere is cheerful and waiters know a little english. which helps alot... serving size is ok we are 4 people and ordered 3 serving and it was enough for us..,"Korean beef bulgogi. My wife was always telling her boss at a Korean restaurant that I always wanted very spicy food, and she couldn’t get it spicy enough for me, so Kim made some especially for me, with what she called “a surprise”. Several long red chili peppers (I don’t know what kind) with some extra seasonings. WOW! I never complained about spice, again. It took a quart of milk to flush me out!",,"My kid asks for Miyeok-Guk regularly which always gives me and my wife such a kick! And ever since we've figured out how to use the InstantPot, we can get a deeply satisfying soup going without the long pre-soak or simmering times. My wife likes to saute the beef in sesame oil before getting the soup going. It might not be quite as good but infinitely more working household friendly.",,"This is so yummy! I cannot eat spicy food, but the sauce was delicious <3",It definitely didn't disappoint! The chicken skin was crispy and yet succulent at the same time.,"I really like kimchi! I started to like fermented foods when I was 18, my polish friend introduce me this and i’m also enjoying and doing fermentation like sauerkraut, pickles,beetroot, radish, etc.",,,,,,,All of the ingredients are super healthy and include copious amounts of fresh fruits and vegetables along with red pepper paste and healthy purple rice to all be mixed together.,,,,,,I loved the combination of the fish and radish!,"This is one of my favorite comfort foods. The spicy, warm, flavorful broth can be devoured in just a few minutes",This is Galbi Jjim or braised beef short ribs. This is a soy sauce version which was typically served to kings back in the dynasty days.,,"Best jokbal I've eaten thus far. The proportion of fat to meat per slice was excellent and drizzled with a generous serving of slightly sweet garlic sauce with sesame, this makes the jokbal extremely flavorful and delicious. ",
,This was all a bit strong for me. The glaze was alright but I don't think I realised quite how strong mackerel is. I don't think i'd make it again.,"One of a must eat place in Seoul, Korean loves chicken and cheese ! put it together and you would get spicy chicken fried rice with added mozzarella cheese. The food is cooked right in front of you (and for you), and it is very tasty. The spiciness is just right and it is a delicious meal that can be shared by the table!","I eat Korean food a lot, but the problem is, my meals have little variety. My typical order is the spicy pork Korean Bulgogi, or the spicy squid.",,So delicious. I've had this soup with the sirloin substituted with clam and made it really really good.,,"Korean fried chicken is on another level. It is so crispy, the sauce is so sweet and spicy and I could eat it every day. ",I'm glad I can call this my comfort food and it's my default go to for chicken wings and booze,"I love Kimchee, make it instead of coleslaw for meals. I prefer the more spicy form. I have tried many recipes, some made with rice wine vinegar.",,,,,,,,,,,,,This looks so good. O m g,"Kimchi jjigae is made of kimchi, pork or seafood, scallions, and tofu. You can also add mushrooms of your choice!",,,"Once seated we opted for the variety menu with Garlic jakbol, the classic jakbol and the mustard-y flavoured one and it was delicious!",
